date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:18	42854/42854	---M-Z	200	added ('OK')	application/javascript	etag:%22f6d2e4345775dbceaa2ac6dfb3f3aba7-ssl-df%22	https://kalvin.netlify.com/js/owl.carousel.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/owl.carousel.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:19	1418/1418	---M-Z	200	added ('OK')	application/javascript	etag:%22a373559b1e5827a1a3f44efd82764729-ssl-df%22	https://kalvin.netlify.com/js/scrollIt.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/scrollIt.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:20	40847/40847	---M-Z	200	added ('OK')	application/javascript	etag:%2253a4163a1407c754470536ed575c6f53-ssl-df%22	https://kalvin.netlify.com/js/isotope.pkgd.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/isotope.pkgd.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:21	21240/21240	---M-Z	200	added ('OK')	application/javascript	etag:%2214c7a99b3ff22dba956cb8b9a1aab3ab-ssl-df%22	https://kalvin.netlify.com/js/jquery.magnific-popup.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/jquery.magnific-popup.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:22	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:%22ff415c644c238128f733738354ce6fbb-ssl-df%22	https://kalvin.netlify.com/js/particles.min.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/particles.min.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:23	2563/2563	---M-Z	200	added ('OK')	application/javascript	etag:%22b3b7787008fd0f96d740468bbfcf5352-ssl-df%22	https://kalvin.netlify.com/js/main.js	/home/marvelous/websites/portfolio/kalvin.netlify.com/js/main.js	(from https://kalvin.netlify.com/index-particles3.html)
15:39:25	165742/165742	---M-Z	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.eot?v=4.7.0	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfont3e6e.eot	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:26	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%223c437c341174d75b3bf5d2d5a134da0d-ssl%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfont3e6e.woff2	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:28	165742/165742	---M-Z	200	added ('OK')	application/octet-stream	etag:%223277c11e6461ed25cef5e4941ad29245-ssl-df%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.eot?	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfontd41d.eot	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:28	98024/98024	---M-Z	200	added ('OK')	application/font-woff	etag:%22ba421a370eabbc3d43585a770be1e18b-ssl-df%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.woff?v=4.7.0	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfont3e6e.woff	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:29	165548/165548	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2270ff12bbc965c9bb40dc96081062bebe-ssl-df%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfont3e6e.ttf	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:30	2785/2785	---M--	404	error ('Not%20Found')	text/html	etag:1532291161-ssl	https://kalvin.netlify.com/css/owl.video.play.png	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/owl.video.play.png	(from https://kalvin.netlify.com/css/owl.carousel.min.css)
15:39:31	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226fbd06ce2be0d05e10b5320f3fe58186-ssl-df%22	https://kalvin.netlify.com/fonts/fontawesome-webfont.svg?v=4.7.0	/home/marvelous/websites/portfolio/kalvin.netlify.com/fonts/fontawesome-webfont3e6e.svg	(from https://kalvin.netlify.com/css/font-awesome.min.css)
15:39:31	1944/1944	---M-Z	200	added ('OK')	text/css	etag:%22f616bbd1a0425fefc267a0f216a9ac3f-ssl-df%22	https://kalvin.netlify.com/css/style-preview.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/style-preview.css	(from https://kalvin.netlify.com/index.html)
15:39:32	32571/32571	---M-Z	200	added ('OK')	text/html	etag:%2278c6ad37df4ad6507285a2ff32263fc2-ssl-df%22	https://kalvin.netlify.com/index-main.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-main.html	(from https://kalvin.netlify.com/index.html)
15:39:33	39977/39977	---M--	200	added ('OK')	image/jpeg	etag:%2267ceb1e69a1f1b581295be98e254b565-ssl%22	https://kalvin.netlify.com/images/promo/promo-main.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/promo/promo-main.jpg	(from https://kalvin.netlify.com/index.html)
15:39:34	33085/33085	---M-Z	200	added ('OK')	text/html	etag:%2208fcae66f3192a36af712f8f6ca02e65-ssl-df%22	https://kalvin.netlify.com/index-slider.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-slider.html	(from https://kalvin.netlify.com/index.html)
